Id,Country,City,Latitude,Longitude,Population,IdProche,NCTNumber,Disease,Condition,Intervention,Phases,Enrollment,PrincipalInvestigationLocation
1258,france,vichy,46.128264,3.423472,25900,0,NCT01817166,Multiple Sclerosis,CIS,Drug,Phase 3,316,CH de Vichy - Jacques Larin
1259,canada,london,42.983333,-81.25,346774,0,NCT02634567,Multiple Sclerosis,RRMS,Behavioral,N/A,30,London Health Sciences Centre
1260,france,pau,43.299999,-0.366667,77475,0,NCT02545959,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,12,Centre hospitalier F. Mitterrand
1261,turkey,istanbul,41.018611,28.964722,9797536,1261,NCT02373098,Multiple Sclerosis,RRMS,Drug,Phase 4,60,Novartis Investigative Site  
1262,turkey,istanbul,41.018611,28.964722,9797536,1262,NCT02373098,Multiple Sclerosis,RRMS,Drug,Phase 4,60,Novartis Investigative Site  
1263,turkey,istanbul,41.018611,28.964722,9797536,1263,NCT02373098,Multiple Sclerosis,RRMS,Drug,Phase 4,60,Novartis Investigative Site  
1264,united states of america,minneapolis,44.98,-93.2636111,367773,0,NCT02716701,Multiple Sclerosis,All,Behavioral,N/A,40,VA Medical Center
1265,united states of america,derby,41.3205556,-73.0894444,12717,0,NCT02679885,Multiple Sclerosis,RRMS,Drug,Phase 4,40,Multiple Sclerosis Treatment Center at Griffin Hospital
1266,united states of america,birmingham,33.5205556,-86.8025,231621,0,NCT01018537,Multiple Sclerosis,CIS,Other,N/A,50000,University of Alabama at Birmingham
1267,france,rennes,48.111981,-1.674291,213334,0,NCT02388334,Multiple Sclerosis,All,Other,N/A,730,Rennes University Hospital
1268,united states of america,urbana,40.1105556,-88.2072222,39511,0,NCT02314585,Multiple Sclerosis,All,Other,N/A,100,Motor control research lab
1269,italy,milan,45.466667,9.2,1156903,1269,NCT02587065,Multiple Sclerosis,RRMS,Drug,Phase 4,275,Novartis Investigative Site  
1270,italy,pozzilli,41.516667,14.066667,2402,234,NCT02587065,Multiple Sclerosis,RRMS,Drug,Phase 4,275,Novartis Investigative Site  
1271,united states of america,cullman,34.1747222,-86.8436111,14796,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1272,united states of america,carmichael,38.6172222,-121.3272222,50992,934,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1273,united states of america,atlanta,33.7488889,-84.3880556,422908,1273,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1274,united states of america,northbrook,42.1275,-87.8288889,34322,44,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1275,united states of america,foxboro,42.0583333,-71.25,16693,45,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1276,united states of america,golden valley,45.0097222,-93.3488889,20325,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1277,united states of america,golden valley,45.0097222,-93.3488889,20325,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1278,united states of america,las vegas,36.175,-115.1363889,540111,1278,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1279,united states of america,teaneck,40.8975,-74.0163889,40078,1,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1280,united states of america,lake success,40.7705556,-73.7180556,2934,1,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1281,united states of america,raleigh,35.7719444,-78.6388889,338759,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1282,united states of america,columbus,39.9611111,-82.9988889,736836,1282,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1283,united states of america,uniontown,40.975,-81.4083333,2802,51,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1284,united states of america,round rock,30.5080556,-97.6786111,88653,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1285,united states of america,virginia beach,36.8527778,-75.9783333,449386,1285,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1286,argentina,buenos aires,-34.5875,-58.6725,3050728,1286,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1287,argentina,buenos aires,-34.5875,-58.6725,3050728,1287,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1288,argentina,rosario,-32.946818,-60.639317,1218497,1288,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1289,austria,vienna,48.2,16.366667,1569315,1289,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1290,belgium,brussels,50.833333,4.333333,1019022,1290,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1291,belgium,edegem,51.15,4.45,21839,1012,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1292,croatia,rijeka,45.3430556,14.4091667,141173,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1293,croatia,slavonski brod,45.1602778,18.0155556,60742,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1294,croatia,split,43.5138889,16.4558333,176315,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1295,croatia,zagreb,45.8,16,698967,1295,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1296,croatia,zagreb,45.8,16,698967,1296,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1297,croatia,zagreb,45.8,16,698967,1297,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1298,croatia,zagreb,45.8,16,698967,1298,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1299,finland,tampere,61.5,23.75,202688,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1300,finland,turku,60.45,22.283333,175944,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1301,france,besancon,47.248778,6.018152,120139,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1302,france,bordeaux,44.840439,-0.5805,219311,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1303,france,bron,45.740218,4.922415,36263,523,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1304,france,clermont-ferrand,45.779657,3.086281,137364,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1305,france,lille,50.632971,3.058585,189746,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1306,france,lomme,50.643579,2.987148,29084,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1307,france,nancy,48.69211,6.187756,106857,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1308,france,nice,43.713644,7.25952,341621,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1309,france,nimes,43.833778,4.359623,137532,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1310,france,nimes,43.833778,4.359623,137532,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1311,france,poissy,48.92902,2.049521,35663,158,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1312,france,rennes,48.111981,-1.674291,213334,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1313,france,strasbourg,48.600381,7.787355,273506,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1314,france,toulouse,43.599516,1.433188,411145,1314,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1315,germany,bayreuth,49.948056,11.578333,74840,777,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1316,germany,dresden,51.05,13.75,480801,1316,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1317,germany,dresden,51.05,13.75,480801,1317,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1318,germany,hamburg,53.55,10,1733846,1318,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1319,germany,rostock,54.083333,12.133333,196833,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1320,germany,stuttgart,48.766667,9.183333,591688,1320,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1321,ireland,dublin,53.3330556,-6.2488889,1024027,1321,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1322,ireland,dublin,53.3330556,-6.2488889,1024027,1322,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1323,italy,ancona,43.633333,13.5,100982,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1324,italy,bari,41.133333,16.85,303049,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1325,italy,cagliari,39.216667,9.116667,157343,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1326,italy,genova,44.416667,8.95,588688,1326,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1327,italy,milan,45.466667,9.2,1156903,1327,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1328,italy,milan,45.466667,9.2,1156903,1328,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1329,italy,montichiari,45.416667,10.383333,21041,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1330,italy,naples,40.833333,14.25,981284,1330,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1331,italy,rome,41.9,12.483333,2643736,1331,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1332,italy,rome,41.9,12.483333,2643736,1332,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1333,italy,rome,41.9,12.483333,2643736,1333,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1334,mexico,mexico,19.434167,-99.138611,8720916,1334,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1335,mexico,mexico,19.434167,-99.138611,8720916,1335,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1336,mexico,distrito federal,32.491389,-115.036944,8918653,1336,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1337,mexico,distrito federal,32.491389,-115.036944,8918653,1337,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1338,mexico,mexico,19.434167,-99.138611,8720916,1338,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1339,poland,bydgoszcz,53.127062,18.019987,366452,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1340,poland,gdansk,54.36085,18.658291,461865,1340,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1341,poland,katowice,50.258415,19.027545,317316,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1342,poland,kielce,50.833333,20.666667,208598,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1343,poland,konskie,51.191432,20.408217,20756,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1344,poland,lodz,51.75,19.466667,715360,1344,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1345,poland,lodz,51.75,19.466667,715360,1345,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1346,poland,lublin,51.25,22.566667,360044,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1347,poland,olsztyn,53.779949,20.494162,171803,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1348,poland,rybnik,50.092076,18.547479,142510,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1349,poland,rzeszow,50.037246,22.004949,158382,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1350,poland,warsaw,52.25,21,1651676,1350,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1351,united states of america,guaynabo,18.3594444,-66.1113889,81363,845,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1352,russia,kaluga,54.529302,36.275415,338982,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1353,russia,kazan,55.78874,49.122144,1104750,1353,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1354,russia,krasnoyarsk,56.0091,92.8628,907460,1354,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1355,russia,moscow,55.752222,37.615556,10381288,1355,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1356,russia,moscow,55.752222,37.615556,10381288,1356,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1357,russia,moscow,55.752222,37.615556,10381288,1357,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1358,russia,novosibirsk,55.0415,82.9346,1419016,1358,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1359,russia,perm,58.009282,56.284063,982428,1359,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1360,russia,saint petersburg,59.894444,30.264167,4039751,1360,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1361,russia,saint petersburg,59.894444,30.264167,4039751,1361,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1362,russia,tyumen,57.152222,65.527222,519124,1362,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1363,russia,volgograd,48.71939,44.501835,1010331,1363,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1364,russia,yaroslavl,57.61977,39.85536,606735,1364,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1365,spain,burgos,42.350221,-3.675273,168319,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1366,spain,madrid,40.408566,-3.69222,3102644,1366,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1367,spain,murcia,37.987041,-1.130042,410364,1367,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1368,spain,malaga,36.726666,-4.434802,557875,1368,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1369,spain,sevilla,37.382408,-5.976133,686647,1369,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1370,spain,valencia,39.466667,-0.366667,769897,1370,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1371,turkey,ankara,39.911652,32.840305,3519177,1371,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1372,turkey,istanbul,41.018611,28.964722,9797536,1372,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1373,turkey,istanbul,41.018611,28.964722,9797536,1373,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1374,turkey,izmit,40.766944,29.916944,196672,0,NCT02499900,Multiple Sclerosis,RRMS,Drug,Phase 4,840,Teva Investigational Site
1375,canada,gatineau,45.483333,-75.65,265349,165,NCT02623946,Multiple Sclerosis,All,Drug,N/A,10,Clinique Neuro-Outaouais
1376,israel,haifa,32.815556,34.989167,269961,1105,NCT02212886,Multiple Sclerosis,RRMS,Drug,Phase 1-Phase 2,20,Carmel Medical Center
1377,israel,ashkelon,31.669256,34.57149,126819,1105,NCT02212886,Multiple Sclerosis,RRMS,Drug,Phase 1-Phase 2,20,Barzilai Medical Center
1378,israel,jerusalem,31.78,35.23,714685,1378,NCT02212886,Multiple Sclerosis,RRMS,Drug,Phase 1-Phase 2,20,Hadassah Ein-Kerem
1379,israel,tel aviv,32.066667,34.766667,426138,1379,NCT02212886,Multiple Sclerosis,RRMS,Drug,Phase 1-Phase 2,20,TASMC
1380,israel,tel hashomer,32.053889,34.848056,1700,1105,NCT02212886,Multiple Sclerosis,RRMS,Drug,Phase 1-Phase 2,20,Sheba MC
1381,israel,ness ziona,31.926389,34.803333,38100,1105,NCT02212886,Multiple Sclerosis,RRMS,Drug,Phase 1-Phase 2,20,Assaf Harofeh MC
1382,united states of america,phoenix,33.4483333,-112.0733333,1428509,1382,NCT02471222,Multiple Sclerosis,All,Drug,Phase 2,60,Adamas Investigational Site
1383,united states of america,sarasota,27.3361111,-82.5308333,53327,0,NCT02471222,Multiple Sclerosis,All,Drug,Phase 2,60,Adamas Investigational Site
1384,united states of america,atlanta,33.7488889,-84.3880556,422908,1384,NCT02471222,Multiple Sclerosis,All,Drug,Phase 2,60,Adamas Investigational Site
1385,united states of america,northbrook,42.1275,-87.8288889,34322,44,NCT02471222,Multiple Sclerosis,All,Drug,Phase 2,60,Adamas Investigational Site
1386,united states of america,rochester,44.0216667,-92.4697222,96355,0,NCT02471222,Multiple Sclerosis,All,Drug,Phase 2,60,Adamas Investigational Site
1387,united states of america,patchogue,40.7655556,-73.0155556,12030,0,NCT02471222,Multiple Sclerosis,All,Drug,Phase 2,60,Adamas Investigational Site
1388,united states of america,raleigh,35.7719444,-78.6388889,338759,0,NCT02471222,Multiple Sclerosis,All,Drug,Phase 2,60,Adamas Investigational Site
1389,united states of america,franklin,35.925,-86.8688889,49706,704,NCT02471222,Multiple Sclerosis,All,Drug,Phase 2,60,Adamas Investigational Site
1390,united states of america,dallas,32.7833333,-96.8,1211704,1390,NCT02471222,Multiple Sclerosis,All,Drug,Phase 2,60,Adamas Investigational Site
1391,united states of america,kirkland,47.6816667,-122.2075,45778,73,NCT02471222,Multiple Sclerosis,All,Drug,Phase 2,60,Adamas Investigational Site
1392,germany,bonn,50.733333,7.1,314081,807,NCT02364986,Multiple Sclerosis,RRMS,Drug,Phase 1,50,Department of Neurology
1393,germany,bonn,50.733333,7.1,314081,807,NCT02364986,Multiple Sclerosis,RRMS,Drug,Phase 1,50,Phase I Unit
1394,united states of america,cullman,34.1747222,-86.8436111,14796,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1395,united states of america,gilbert,33.3527778,-111.7883333,170829,81,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1396,united states of america,phoenix,33.4483333,-112.0733333,1428509,1396,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1397,united states of america,phoenix,33.4483333,-112.0733333,1428509,1397,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1398,united states of america,tucson,32.2216667,-110.9258333,518907,1398,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1399,united states of america,carlsbad,33.1580556,-117.3497222,91070,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1400,united states of america,fullerton,33.8702778,-117.9244444,135353,102,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1401,united states of america,la jolla,32.8472222,-117.2733333,42808,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1402,united states of america,centennial,39.5791667,-104.8763889,96930,286,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1403,united states of america,englewood,39.6477778,-104.9872222,32860,286,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1404,united states of america,fort collins,40.5852778,-105.0838889,129252,286,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1405,united states of america,fairfield,41.1411111,-73.2641667,59052,1,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1406,united states of america,maitland,28.6275,-81.3633333,11686,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1407,united states of america,sunrise,26.1336111,-80.1133333,90993,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1408,united states of america,tampa,27.9472222,-82.4586111,324465,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1409,united states of america,tampa,27.9472222,-82.4586111,324465,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1410,united states of america,atlanta,33.7488889,-84.3880556,422908,1410,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1411,united states of america,chicago,41.85,-87.65,2841952,1411,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1412,united states of america,northbrook,42.1275,-87.8288889,34322,44,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1413,united states of america,avon,39.7627778,-86.3997222,12446,294,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1414,united states of america,indianapolis,39.7683333,-86.1580556,773283,1414,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1415,united states of america,lexington,37.9886111,-84.4777778,314488,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1416,united states of america,lexington,37.9886111,-84.4777778,314488,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1417,united states of america,boston,42.3583333,-71.0602778,571281,1417,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1418,united states of america,boston,42.3583333,-71.0602778,571281,1418,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1419,united states of america,boston,42.3583333,-71.0602778,571281,1419,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1420,united states of america,edina,44.8897222,-93.3497222,45945,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1421,united states of america,saint louis,38.6272222,-90.1977778,320916,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1422,united states of america,freehold,40.26,-74.2741667,11558,1,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1423,united states of america,newark,40.7355556,-74.1727778,280123,1,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1424,united states of america,teaneck,40.8975,-74.0163889,40078,1,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1425,united states of america,latham,42.7469444,-73.7594444,20736,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1426,united states of america,mineola,40.7491667,-73.6411111,19006,1,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1427,united states of america,patchogue,40.7655556,-73.0155556,12030,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1428,united states of america,raleigh,35.7719444,-78.6388889,338759,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1429,united states of america,akron,41.0813889,-81.5191667,208414,51,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1430,united states of america,columbus,39.9611111,-82.9988889,736836,1430,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1431,united states of america,oklahoma city,35.4675,-97.5161111,532950,1431,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1432,united states of america,portland,45.5236111,-122.675,540513,1432,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1433,united states of america,pittsburgh,40.4405556,-79.9961111,319494,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1434,united states of america,cordova,35.1555556,-89.7761111,78138,2240,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1435,united states of america,knoxville,35.9605556,-83.9208333,172474,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1436,united states of america,houston,29.7630556,-95.3630556,2027712,1436,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1437,united states of america,lubbock,33.5777778,-101.8547222,211387,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1438,united states of america,round rock,30.5080556,-97.6786111,88653,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1439,united states of america,san antonio,29.4238889,-98.4933333,1256810,1439,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1440,united states of america,salt lake city,40.7608333,-111.8902778,178026,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
1441,united states of america,richmond,37.5536111,-77.4605556,190886,0,NCT02637856,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Hoffmann-La Roche Investigational Site
